id,A_log2_qnorm_tumor_batchadj_score,A_log2_qnorm_tumor_batchadj_sd,A_log2_qnorm_tumor_batchadj_high,B_log2_qnorm_tumor_no_batchadj_score,B_log2_qnorm_tumor_no_batchadj_sd,B_log2_qnorm_tumor_no_batchadj_high,C_log2_raw_batchadj_score,C_log2_raw_batchadj_sd,C_log2_raw_batchadj_high,D_log2_qnorm_all120_batchadj_score,D_log2_qnorm_all120_batchadj_sd,D_log2_qnorm_all120_batchadj_high,E_log2_qnorm_within_batch_batchadj_score,E_log2_qnorm_within_batch_batchadj_sd,E_log2_qnorm_within_batch_batchadj_high,F_qnorm_raw_then_log2_tumor_batchadj_score,F_qnorm_raw_then_log2_tumor_batchadj_sd,F_qnorm_raw_then_log2_tumor_batchadj_high,G_qnorm_raw_within_batch_then_log2_batchadj_score,G_qnorm_raw_within_batch_then_log2_batchadj_sd,G_qnorm_raw_within_batch_then_log2_batchadj_high
CCA_RO_15,0.21511738344923487,0.5381825167331925,1,0.2210382121062803,0.5653194488461352,1,0.4679648911450357,0.70777529366786,1,0.21513357241314754,0.5382171378951485,1,0.2139962577005595,0.5338853292211843,1,0.21492771531636837,0.5377317864837345,1,0.21409319440599572,0.5342036084299485,1
CCA_RO_19,-0.14053678275692433,-0.3436006406237707,0,-0.13005997908383743,-0.3253868911946111,0,0.15969163527324423,0.2475976155180823,1,-0.1405796706162866,-0.3437050683490382,0,-0.13893137878887077,-0.3386326570051762,0,-0.1407040573487973,-0.34402838527477553,0,-0.13902446357418172,-0.3389330599552768,0
CCA_RO_23,-0.3234851556782046,-0.7971895740213176,0,-0.3067890761073364,-0.7737336247819342,0,-0.4013740002697266,-0.5899381633273356,0,-0.3235103911121973,-0.7972464187795664,0,-0.3197753750848173,-0.7857204539224126,0,-0.32343334807804974,-0.7970908593367801,0,-0.3199589586283441,-0.7863208884518702,0
CCA_RO_25,-0.36498214531938183,-0.9000742019083866,0,-0.34815343087465933,-0.8786714853788822,0,0.1906076548604146,0.2937477821000772,1,-0.3649771437918924,-0.9000552141384522,0,-0.36273465303530983,-0.8919256325815365,0,-0.3649695787645119,-0.900076578609898,0,-0.36313131370209134,-0.893071047849313,0
CCA_RO_29,-0.25213622022953147,-0.6202921957476154,0,-0.2365638977828628,-0.595578302044227,0,-0.0007504677505641611,0.00809622173623026,0,-0.2521419361472589,-0.6203021343248288,0,-0.24954114399072921,-0.6120853413879318,0,-0.2520188350672701,-0.6200243593822798,0,-0.24970058176331095,-0.6125964549217512,0
CCA_RO_31,-0.44873964483386625,-1.1077364743964162,0,-0.4325204797487785,-1.0927035345557297,0,0.45058014461945584,0.6818240567733727,1,-0.44880243909679657,-1.1078838255917915,0,-0.4469968851767282,-1.1002411780408683,0,-0.448848375815597,-1.1080472611515215,0,-0.44750560670356626,-1.101699213062173,0
CCA_RO_35,0.030241935786919458,0.07981573392159472,1,0.03531999113281603,0.09416807002123352,1,0.4234954228724503,0.6413930945362417,1,0.030244462617212316,0.07982033986460017,1,0.0302052195937242,0.07951176967073852,1,0.03027602882140054,0.07990288784762131,1,0.03020206431110439,0.07950505386018314,1
CCA_RO_38,-0.07093199097009045,-0.17102756570753064,0,-0.06172136050482182,-0.15201761056224528,0,0.5229307388464124,0.7898260576928567,1,-0.07089437218420881,-0.1709338450664762,0,-0.07313817423472817,-0.1759767796815007,0,-0.07075691265249859,-0.17060010618933102,0,-0.07312052147792109,-0.17597562314929285,0
CCA_RO_42,0.08250174434506384,0.2093849148054737,1,0.08832611281933359,0.22864010614057362,1,0.7197025332623802,1.0835589253839955,1,0.082476450830171,0.20931945518846,1,0.08187923652107694,0.20726177995090814,1,0.08253816941411987,0.20948263186248284,1,0.08197032755761423,0.20750989269405504,1
CCA_RO_43,0.36755579027935226,0.9161272519544562,1,0.36631651378351376,0.9338781814776983,1,0.5838172300229152,0.880714915570112,1,0.36752161360033797,0.9160338206378719,1,0.3645324566825724,0.9060453065367896,1,0.367414094298492,0.9158094107479308,1,0.3647549202964895,0.9067374492739494,1
CCA_RO_45,0.13739936989172474,0.3454941079081766,1,0.14066402001792067,0.3614169387645916,1,0.039751984763877764,0.06855662237902571,0,0.1374277986527611,0.3455606968556425,1,0.13509970261229928,0.33883496691308107,1,0.1375472127192233,0.3458730986351115,1,0.13532177832269324,0.3394294014521088,1
CCA_RO_46,0.16498392198445316,0.4138852466879322,1,0.16844539293782718,0.43189592616956435,1,0.31701710528644694,0.48244662731366844,1,0.16495381338942544,0.4138061280319574,1,0.16389343649508917,0.4100196747847809,1,0.1651981938320145,0.41443146638888867,1,0.16417865048161315,0.41078237020756003,1
CCA_SG_1,0.23926340223711448,0.5980484053055061,1,0.228825453827741,0.5850750207823602,1,0.84332348895457,1.2680952199782547,1,0.2392489681308107,0.5980065986828461,1,0.2387529468858043,0.5950895375637311,1,0.23933627208116104,0.5982508257248227,1,0.238619384598582,0.5948483128478151,1
